date, venue, home, away, hscore, ascore, hpens, apens, winner
23 Jun 1974,Stuttgart ,Poland,Italy,2,1,NA,NA,Poland
26 Jun 1974,Hanover ,Brazil,German DR,1,0,NA,NA,Brazil
26 Jun 1974,Gelsenkirchen ,Netherlands,Argentina,4,0,NA,NA,Netherlands
30 Jun 1974,Gelsenkirchen ,German DR,Netherlands,0,2,NA,NA,Netherlands
30 Jun 1974,Hanover ,Argentina,Brazil,1,2,NA,NA,Brazil
03 Jul 1974,Gelsenkirchen ,Argentina,German DR,1,1,NA,NA,D
03 Jul 1974,Dortmund ,Netherlands,Brazil,2,0,NA,NA,Netherlands
26 Jun 1974,DSseldorf ,Yugoslavia,Germany FR,0,2,NA,NA,Germany FR
26 Jun 1974,Stuttgart ,Sweden,Poland,0,1,NA,NA,Poland
30 Jun 1974,DSseldorf ,Germany FR,Sweden,4,2,NA,NA,Germany FR
30 Jun 1974,Frankfurt/Main ,Poland,Yugoslavia,2,1,NA,NA,Poland
03 Jul 1974,Frankfurt/Main ,Poland,Germany FR,0,1,NA,NA,Germany FR
03 Jul 1974,DSseldorf ,Sweden,Yugoslavia,2,1,NA,NA,Sweden
06 Jul 1974,Munich ,Brazil,Poland,0,1,NA,NA,Poland
07 Jul 1974,Munich ,Netherlands,Germany FR,1,2,NA,NA,Germany FR
02 Jun 1978,Buenos Aires ,Argentina,Hungary,2,1,NA,NA,Argentina
02 Jun 1978,Mar Del Plata ,Italy,France,2,1,NA,NA,Italy
06 Jun 1978,Buenos Aires ,Argentina,France,2,1,NA,NA,Argentina
06 Jun 1978,Mar Del Plata ,Italy,Hungary,3,1,NA,NA,Italy
10 Jun 1978,Buenos Aires ,Italy,Argentina,1,0,NA,NA,Italy
10 Jun 1978,Mar Del Plata ,France,Hungary,3,1,NA,NA,France
01 Jun 1978,Buenos Aires ,Germany FR,Poland,0,0,NA,NA,D
02 Jun 1978,Rosario ,Tunisia,Mexico,3,1,NA,NA,Tunisia
06 Jun 1978,Rosario ,Poland,Tunisia,1,0,NA,NA,Poland
06 Jun 1978,Cordoba ,Germany FR,Mexico,6,0,NA,NA,Germany FR
10 Jun 1978,Rosario ,Poland,Mexico,3,1,NA,NA,Poland
10 Jun 1978,Cordoba ,Germany FR,Tunisia,0,0,NA,NA,D
03 Jun 1978,Buenos Aires ,Austria,Spain,2,1,NA,NA,Austria
03 Jun 1978,Mar Del Plata ,Sweden,Brazil,1,1,NA,NA,D
07 Jun 1978,Buenos Aires ,Austria,Sweden,1,0,NA,NA,Austria
07 Jun 1978,Mar Del Plata ,Brazil,Spain,0,0,NA,NA,D
11 Jun 1978,Buenos Aires ,Spain,Sweden,1,0,NA,NA,Spain
11 Jun 1978,Mar Del Plata ,Brazil,Austria,1,0,NA,NA,Brazil
03 Jun 1978,Cordoba ,Peru,Scotland,3,1,NA,NA,Peru
03 Jun 1978,Mendoza ,Netherlands,Iran,3,0,NA,NA,Netherlands
07 Jun 1978,Cordoba ,Scotland,Iran,1,1,NA,NA,D
07 Jun 1978,Mendoza ,Netherlands,Peru,0,0,NA,NA,D
11 Jun 1978,Cordoba ,Peru,Iran,4,1,NA,NA,Peru
11 Jun 1978,Mendoza ,Scotland,Netherlands,3,2,NA,NA,Scotland
14 Jun 1978,Buenos Aires ,Germany FR,Italy,0,0,NA,NA,D
14 Jun 1978,Cordoba ,Netherlands,Austria,5,1,NA,NA,Netherlands
18 Jun 1978,Buenos Aires ,Italy,Austria,1,0,NA,NA,Italy
18 Jun 1978,Cordoba ,Germany FR,Netherlands,2,2,NA,NA,D
21 Jun 1978,Buenos Aires ,Netherlands,Italy,2,1,NA,NA,Netherlands
21 Jun 1978,Cordoba ,Austria,Germany FR,3,2,NA,NA,Austria
14 Jun 1978,Rosario ,Argentina,Poland,2,0,NA,NA,Argentina
14 Jun 1978,Mendoza ,Brazil,Peru,3,0,NA,NA,Brazil
18 Jun 1978,Rosario ,Argentina,Brazil,0,0,NA,NA,D
18 Jun 1978,Mendoza ,Poland,Peru,1,0,NA,NA,Poland
21 Jun 1978,Rosario ,Argentina,Peru,6,0,NA,NA,Argentina
21 Jun 1978,Mendoza ,Brazil,Poland,3,1,NA,NA,Brazil
24 Jun 1978,Buenos Aires ,Brazil,Italy,2,1,NA,NA,Brazil
25 Jun 1978,Buenos Aires ,Argentina,Netherlands,3,1,NA,NA,Argentina
14 Jun 1982,Vigo ,Italy,Poland,0,0,NA,NA,D
15 Jun 1982,La CoruA ,Peru,Cameroon,0,0,NA,NA,D
18 Jun 1982,Vigo ,Italy,Peru,1,1,NA,NA,D
19 Jun 1982,La CoruA ,Poland,Cameroon,0,0,NA,NA,D
22 Jun 1982,La CoruA ,Poland,Peru,5,1,NA,NA,Poland
23 Jun 1982,Vigo ,Italy,Cameroon,1,1,NA,NA,D
16 Jun 1982,Gijon ,Germany FR,Algeria,1,2,NA,NA,Algeria
17 Jun 1982,Oviedo ,Chile,Austria,0,1,NA,NA,Austria
20 Jun 1982,Gijon ,Germany FR,Chile,4,1,NA,NA,Germany FR
21 Jun 1982,Oviedo ,Algeria,Austria,0,2,NA,NA,Austria
24 Jun 1982,Oviedo ,Algeria,Chile,3,2,NA,NA,Algeria
25 Jun 1982,Gijon ,Germany FR,Austria,1,0,NA,NA,Germany FR
13 Jun 1982,Barcelona ,Argentina,Belgium,0,1,NA,NA,Belgium
15 Jun 1982,Elche ,Hungary,El Salvador,10,1,NA,NA,Hungary
18 Jun 1982,Alicante ,Argentina,Hungary,4,1,NA,NA,Argentina
19 Jun 1982,Elche ,Belgium,El Salvador,1,0,NA,NA,Belgium
22 Jun 1982,Elche ,Belgium,Hungary,1,1,NA,NA,D
23 Jun 1982,Alicante ,Argentina,El Salvador,2,0,NA,NA,Argentina
16 Jun 1982,Bilbao ,England,France,3,1,NA,NA,England
17 Jun 1982,Valladolid ,Czechoslovakia,Kuwait,1,1,NA,NA,D
20 Jun 1982,Bilbao ,England,Czechoslovakia,2,0,NA,NA,England
21 Jun 1982,Valladolid ,France,Kuwait,4,1,NA,NA,France
24 Jun 1982,Valladolid ,France,Czechoslovakia,1,1,NA,NA,D
25 Jun 1982,Bilbao ,England,Kuwait,1,0,NA,NA,England
16 Jun 1982,Valencia ,Spain,Honduras,1,1,NA,NA,D
17 Jun 1982,Zaragoza ,Yugoslavia,Northern Ireland,0,0,NA,NA,D
20 Jun 1982,Valencia ,Spain,Yugoslavia,2,1,NA,NA,Spain
21 Jun 1982,Zaragoza ,Honduras,Northern Ireland,1,1,NA,NA,D
24 Jun 1982,Zaragoza ,Honduras,Yugoslavia,0,1,NA,NA,Yugoslavia
25 Jun 1982,Valencia ,Northern Ireland,Spain,1,0,NA,NA,Northern Ireland
14 Jun 1982,Seville ,Brazil,Soviet Union,2,1,NA,NA,Brazil
15 Jun 1982,Malaga ,Scotland,New Zealand,5,2,NA,NA,Scotland
18 Jun 1982,Seville ,Brazil,Scotland,4,1,NA,NA,Brazil
19 Jun 1982,Malaga ,Soviet Union,New Zealand,3,0,NA,NA,Soviet Union
22 Jun 1982,Malaga ,Soviet Union,Scotland,2,2,NA,NA,D
23 Jun 1982,Seville ,Brazil,New Zealand,4,0,NA,NA,Brazil
28 Jun 1982,Barcelona ,Poland,Belgium,3,0,NA,NA,Poland
01 Jul 1982,Barcelona ,Belgium,Soviet Union,0,1,NA,NA,Soviet Union
04 Jul 1982,Barcelona ,Poland,Soviet Union,0,0,NA,NA,D
29 Jun 1982,Madrid ,Germany FR,England,0,0,NA,NA,D
02 Jul 1982,Madrid ,Germany FR,Spain,2,1,NA,NA,Germany FR
05 Jul 1982,Madrid ,Spain,England,0,0,NA,NA,D
29 Jun 1982,Barcelona ,Italy,Argentina,2,1,NA,NA,Italy
02 Jul 1982,Barcelona ,Argentina,Brazil,1,3,NA,NA,Brazil
05 Jul 1982,Barcelona ,Italy,Brazil,3,2,NA,NA,Italy
28 Jun 1982,Madrid ,Austria,France,0,1,NA,NA,France
01 Jul 1982,Madrid ,Austria,Northern Ireland,2,2,NA,NA,D
04 Jul 1982,Madrid ,France,Northern Ireland,4,1,NA,NA,France
08 Jul 1982,Barcelona ,Poland,Italy,0,2,NA,NA,Italy
08 Jul 1982,Seville ,Germany FR,France,3,3,5,4,Germany FR
10 Jul 1982,Alicante ,Poland,France,3,2,NA,NA,Poland
11 Jul 1982,Madrid ,Italy,Germany FR,3,1,NA,NA,Italy
31 May 1986,Mexico City ,Bulgaria,Italy,1,1,NA,NA,D
02 Jun 1986,Mexico City ,Argentina,Korea Republic,3,1,NA,NA,Argentina
05 Jun 1986,Puebla ,Italy,Argentina,1,1,NA,NA,D
05 Jun 1986,Mexico City ,Korea Republic,Bulgaria,1,1,NA,NA,D
10 Jun 1986,Puebla ,Korea Republic,Italy,2,3,NA,NA,Italy
10 Jun 1986,Mexico City ,Argentina,Bulgaria,2,0,NA,NA,Argentina
03 Jun 1986,Mexico City ,Belgium,Mexico,1,2,NA,NA,Mexico
04 Jun 1986,Toluca ,Paraguay,Iraq,1,0,NA,NA,Paraguay
07 Jun 1986,Mexico City ,Mexico,Paraguay,1,1,NA,NA,D
08 Jun 1986,Toluca ,Iraq,Belgium,1,2,NA,NA,Belgium
11 Jun 1986,Mexico City ,Iraq,Mexico,0,1,NA,NA,Mexico
11 Jun 1986,Toluca ,Paraguay,Belgium,2,2,NA,NA,D
01 Jun 1986,Leon ,Canada,France,0,1,NA,NA,France
02 Jun 1986,Irapuato ,Soviet Union,Hungary,6,0,NA,NA,Soviet Union
05 Jun 1986,Leon ,France,Soviet Union,1,1,NA,NA,D
06 Jun 1986,Irapuato ,Hungary,Canada,2,0,NA,NA,Hungary
09 Jun 1986,Leon ,Hungary,France,0,3,NA,NA,France
09 Jun 1986,Irapuato ,Soviet Union,Canada,2,0,NA,NA,Soviet Union
01 Jun 1986,Guadalajara ,Spain,Brazil,0,1,NA,NA,Brazil
03 Jun 1986,Guadalajara ,Algeria,Northern Ireland,1,1,NA,NA,D
06 Jun 1986,Guadalajara ,Brazil,Algeria,1,0,NA,NA,Brazil
07 Jun 1986,Guadalajara ,Northern Ireland,Spain,1,2,NA,NA,Spain
12 Jun 1986,Guadalajara ,Northern Ireland,Brazil,0,3,NA,NA,Brazil
12 Jun 1986,Monterrey ,Algeria,Spain,0,3,NA,NA,Spain
04 Jun 1986,Queretaro ,Uruguay,Germany FR,1,1,NA,NA,D
04 Jun 1986,Nezahualcoyotl ,Scotland,Denmark,0,1,NA,NA,Denmark
08 Jun 1986,Queretaro ,Germany FR,Scotland,2,1,NA,NA,Germany FR
08 Jun 1986,Nezahualcoyotl ,Denmark,Uruguay,6,1,NA,NA,Denmark
13 Jun 1986,Queretaro ,Denmark,Germany FR,2,0,NA,NA,Denmark
13 Jun 1986,Nezahualcoyotl ,Scotland,Uruguay,0,0,NA,NA,D
02 Jun 1986,Monterrey ,Morocco,Poland,0,0,NA,NA,D
03 Jun 1986,Monterrey ,Portugal,England,1,0,NA,NA,Portugal
06 Jun 1986,Monterrey ,England,Morocco,0,0,NA,NA,D
07 Jun 1986,Monterrey ,Poland,Portugal,1,0,NA,NA,Poland
11 Jun 1986,Guadalajara ,Portugal,Morocco,1,3,NA,NA,Morocco
11 Jun 1986,Monterrey ,England,Poland,3,0,NA,NA,England
15 Jun 1986,Mexico City ,Mexico,Bulgaria,2,0,NA,NA,Mexico
15 Jun 1986,Leon ,Soviet Union,Belgium,3,4,NA,NA,Belgium
16 Jun 1986,Puebla ,Argentina,Uruguay,1,0,NA,NA,Argentina
16 Jun 1986,Guadalajara ,Brazil,Poland,4,0,NA,NA,Brazil
17 Jun 1986,Mexico City ,Italy,France,0,2,NA,NA,France
17 Jun 1986,Monterrey ,Morocco,Germany FR,0,1,NA,NA,Germany FR
18 Jun 1986,Mexico City ,England,Paraguay,3,0,NA,NA,England
18 Jun 1986,Queretaro ,Denmark,Spain,1,5,NA,NA,Spain
21 Jun 1986,Guadalajara ,Brazil,France,1,1,3,4,France
21 Jun 1986,Monterrey ,Germany FR,Mexico,0,0,4,1,Germany FR
22 Jun 1986,Puebla ,Spain,Belgium,1,1,4,5,Belgium
22 Jun 1986,Mexico City ,Argentina,England,2,1,NA,NA,Argentina
25 Jun 1986,Mexico City ,Argentina,Belgium,2,0,NA,NA,Argentina
25 Jun 1986,Guadalajara ,France,Germany FR,0,2,NA,NA,Germany FR
28 Jun 1986,Puebla ,France,Belgium,4,2,NA,NA,France
29 Jun 1986,Mexico City ,Argentina,Germany FR,3,2,NA,NA,Argentina
09 Jun 1990,Rome ,Italy,Austria,1,0,NA,NA,Italy
10 Jun 1990,Florence ,USA,Czechoslovakia,1,5,NA,NA,Czechoslovakia
14 Jun 1990,Rome ,Italy,USA,1,0,NA,NA,Italy
15 Jun 1990,Florence ,Austria,Czechoslovakia,0,1,NA,NA,Czechoslovakia
19 Jun 1990,Rome ,Italy,Czechoslovakia,2,0,NA,NA,Italy
19 Jun 1990,Florence ,Austria,USA,2,1,NA,NA,Austria
08 Jun 1990,Milan ,Argentina,Cameroon,0,1,NA,NA,Cameroon
09 Jun 1990,Bari ,Soviet Union,Romania,0,2,NA,NA,Romania
13 Jun 1990,Naples ,Argentina,Soviet Union,2,0,NA,NA,Argentina
14 Jun 1990,Bari ,Cameroon,Romania,2,1,NA,NA,Cameroon
18 Jun 1990,Naples ,Argentina,Romania,1,1,NA,NA,D
18 Jun 1990,Bari ,Cameroon,Soviet Union,0,4,NA,NA,Soviet Union
10 Jun 1990,Turin ,Brazil,Sweden,2,1,NA,NA,Brazil
11 Jun 1990,Genoa ,Costa Rica,Scotland,1,0,NA,NA,Costa Rica
16 Jun 1990,Turin ,Brazil,Costa Rica,1,0,NA,NA,Brazil
16 Jun 1990,Genoa ,Sweden,Scotland,1,2,NA,NA,Scotland
20 Jun 1990,Turin ,Brazil,Scotland,1,0,NA,NA,Brazil
20 Jun 1990,Genoa ,Sweden,Costa Rica,1,2,NA,NA,Costa Rica
09 Jun 1990,Bologna ,United Arab Emirates,Colombia,0,2,NA,NA,Colombia
10 Jun 1990,Milan ,Germany FR,Yugoslavia,4,1,NA,NA,Germany FR
14 Jun 1990,Bologna ,Yugoslavia,Colombia,1,0,NA,NA,Yugoslavia
15 Jun 1990,Milan ,Germany FR,United Arab Emirates,5,1,NA,NA,Germany FR
19 Jun 1990,Milan ,Germany FR,Colombia,1,1,NA,NA,D
19 Jun 1990,Bologna ,Yugoslavia,United Arab Emirates,4,1,NA,NA,Yugoslavia
12 Jun 1990,Verona ,Belgium,Korea Republic,2,0,NA,NA,Belgium
13 Jun 1990,Udine ,Uruguay,Spain,0,0,NA,NA,D
17 Jun 1990,Verona ,Belgium,Uruguay,3,1,NA,NA,Belgium
17 Jun 1990,Udine ,Korea Republic,Spain,1,3,NA,NA,Spain
21 Jun 1990,Verona ,Belgium,Spain,1,2,NA,NA,Spain
21 Jun 1990,Udine ,Korea Republic,Uruguay,0,1,NA,NA,Uruguay
11 Jun 1990,Cagliari ,England,Republic of Ireland,1,1,NA,NA,D
12 Jun 1990,Palermo ,Netherlands,Egypt,1,1,NA,NA,D
16 Jun 1990,Cagliari ,England,Netherlands,0,0,NA,NA,D
17 Jun 1990,Palermo ,Republic of Ireland,Egypt,0,0,NA,NA,D
21 Jun 1990,Cagliari ,England,Egypt,1,0,NA,NA,England
21 Jun 1990,Palermo ,Republic of Ireland,Netherlands,1,1,NA,NA,D
23 Jun 1990,Naples ,Cameroon,Colombia,2,1,NA,NA,Cameroon
23 Jun 1990,Bari ,Czechoslovakia,Costa Rica,4,1,NA,NA,Czechoslovakia
24 Jun 1990,Turin ,Brazil,Argentina,0,1,NA,NA,Argentina
24 Jun 1990,Milan ,Germany FR,Netherlands,2,1,NA,NA,Germany FR
25 Jun 1990,Genoa ,Republic of Ireland,Romania,0,0,5,4,Republic of Ireland
25 Jun 1990,Rome ,Italy,Uruguay,2,0,NA,NA,Italy
26 Jun 1990,Verona ,Spain,Yugoslavia,1,2,NA,NA,Yugoslavia
26 Jun 1990,Bologna ,England,Belgium,1,0,NA,NA,England
30 Jun 1990,Florence ,Yugoslavia,Argentina,0,0,2,3,Argentina
30 Jun 1990,Rome ,Italy,Republic of Ireland,1,0,NA,NA,Italy
01 Jul 1990,Milan ,Germany FR,Czechoslovakia,1,0,NA,NA,Germany FR
01 Jul 1990,Naples ,England,Cameroon,3,2,NA,NA,England
03 Jul 1990,Naples ,Italy,Argentina,1,1,3,4,Argentina
04 Jul 1990,Turin ,Germany FR,England,1,1,4,3,Germany FR
07 Jul 1990,Bari ,Italy,England,2,1,NA,NA,Italy
08 Jul 1990,Rome ,Germany FR,Argentina,1,0,NA,NA,Germany FR
18 Jun 1994,Detroit ,USA,Switzerland,1,1,NA,NA,D
18 Jun 1994,Los Angeles ,Colombia,Romania,1,3,NA,NA,Romania
22 Jun 1994,Detroit ,Romania,Switzerland,1,4,NA,NA,Switzerland
22 Jun 1994,Los Angeles ,USA,Colombia,2,1,NA,NA,USA
26 Jun 1994,Los Angeles ,USA,Romania,0,1,NA,NA,Romania
26 Jun 1994,San Francisco ,Switzerland,Colombia,0,2,NA,NA,Colombia
19 Jun 1994,Los Angeles ,Cameroon,Sweden,2,2,NA,NA,D
20 Jun 1994,San Francisco ,Brazil,Russia,2,0,NA,NA,Brazil
24 Jun 1994,San Francisco ,Brazil,Cameroon,3,0,NA,NA,Brazil
24 Jun 1994,Detroit ,Sweden,Russia,3,1,NA,NA,Sweden
28 Jun 1994,San Francisco ,Russia,Cameroon,6,1,NA,NA,Russia
28 Jun 1994,Detroit ,Brazil,Sweden,1,1,NA,NA,D
17 Jun 1994,Chicago ,Germany,Bolivia,1,0,NA,NA,Germany
17 Jun 1994,Dallas ,Spain,Korea Republic,2,2,NA,NA,D
21 Jun 1994,Chicago ,Germany,Spain,1,1,NA,NA,D
23 Jun 1994,Boston ,Korea Republic,Bolivia,0,0,NA,NA,D
27 Jun 1994,Chicago ,Bolivia,Spain,1,3,NA,NA,Spain
27 Jun 1994,Dallas ,Germany,Korea Republic,3,2,NA,NA,Germany
21 Jun 1994,Boston ,Argentina,Greece,4,0,NA,NA,Argentina
21 Jun 1994,Dallas ,Nigeria,Bulgaria,3,0,NA,NA,Nigeria
25 Jun 1994,Boston ,Argentina,Nigeria,2,1,NA,NA,Argentina
26 Jun 1994,Chicago ,Bulgaria,Greece,4,0,NA,NA,Bulgaria
30 Jun 1994,Boston ,Greece,Nigeria,0,2,NA,NA,Nigeria
30 Jun 1994,Dallas ,Argentina,Bulgaria,0,2,NA,NA,Bulgaria
18 Jun 1994,New York/New Jersey ,Italy,Republic of Ireland,0,1,NA,NA,Republic of Ireland
19 Jun 1994,Washington Dc ,Norway,Mexico,1,0,NA,NA,Norway
23 Jun 1994,New York/New Jersey ,Italy,Norway,1,0,NA,NA,Italy
24 Jun 1994,Orlando ,Mexico,Republic of Ireland,2,1,NA,NA,Mexico
28 Jun 1994,New York/New Jersey ,Republic of Ireland,Norway,0,0,NA,NA,D
28 Jun 1994,Washington Dc ,Italy,Mexico,1,1,NA,NA,D
19 Jun 1994,Orlando ,Belgium,Morocco,1,0,NA,NA,Belgium
20 Jun 1994,Washington Dc ,Netherlands,Saudi Arabia,2,1,NA,NA,Netherlands
25 Jun 1994,Orlando ,Belgium,Netherlands,1,0,NA,NA,Belgium
25 Jun 1994,New York/New Jersey ,Saudi Arabia,Morocco,2,1,NA,NA,Saudi Arabia
29 Jun 1994,Orlando ,Morocco,Netherlands,1,2,NA,NA,Netherlands
29 Jun 1994,Washington Dc ,Belgium,Saudi Arabia,0,1,NA,NA,Saudi Arabia
02 Jul 1994,Chicago ,Germany,Belgium,3,2,NA,NA,Germany
02 Jul 1994,Washington Dc ,Spain,Switzerland,3,0,NA,NA,Spain
03 Jul 1994,Dallas ,Saudi Arabia,Sweden,1,3,NA,NA,Sweden
03 Jul 1994,Los Angeles ,Romania,Argentina,3,2,NA,NA,Romania
04 Jul 1994,Orlando ,Netherlands,Republic of Ireland,2,0,NA,NA,Netherlands
04 Jul 1994,San Francisco ,Brazil,USA,1,0,NA,NA,Brazil
05 Jul 1994,Boston ,Nigeria,Italy,1,2,NA,NA,Italy
05 Jul 1994,New York/New Jersey ,Mexico,Bulgaria,1,1,1,3,Bulgaria
09 Jul 1994,Boston ,Italy,Spain,2,1,NA,NA,Italy
09 Jul 1994,Dallas ,Netherlands,Brazil,2,3,NA,NA,Brazil
10 Jul 1994,New York/New Jersey ,Bulgaria,Germany,2,1,NA,NA,Bulgaria
10 Jul 1994,San Francisco ,Romania,Sweden,2,2,4,5,Sweden
13 Jul 1994,New York/New Jersey ,Bulgaria,Italy,1,2,NA,NA,Italy
